"","","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in"
"Country","Year"," Educational buildings"," Government offices"," Healthcare establishments"," Leisure events"," Parks and streets"," Public transport"," Places of worship"," Sporting events"," Workplaces"
"Afghanistan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Albania"," 2016","ban","partial restriction","ban","voluntary/self-restricted","no restrictions","voluntary/self-restricted","ban","ban","ban"
"Algeria"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Andorra"," 2016","partial restriction","no restrictions","no restrictions","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","partial restriction"
"Angola"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions","partial restriction"
"Antigua and Barbuda"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Argentina"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Armenia"," 2016","ban","partial restriction","ban","no restrictions","no restrictions","ban","no restrictions","no restrictions","ban"
"Australia"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Austria"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Azerbaijan"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","ban","partial restriction"
"Bahamas"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Bahrain"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
